state,visited
Alabama,2
Alaska,0
Arkansas,1
Arizona,1
California,1
Colorado,1
Connecticut,0
Delaware,0
Florida,1
Georgia,2
Hawaii,1
Iowa,1
Idaho,1
Illinois,1
Indiana,1
Kansas,1
Kentucky,1
Louisiana,2
Maine,0
Maryland,1
Massachusetts,0
Michigan,1
Minnesota,1
Missouri,1
Mississippi,1
Montana,1
North Carolina,1
North Dakota,1
Nebraska,0
New Hampshire,0
New Jersey,1
New Mexico,1
Nevada,1
New York,1
Ohio,1
Oklahoma,1
Oregon,0
Pennsylvania,1
Rhode Island,0
South Carolina,1
South Dakota,0
Tennessee,2
Texas,1
Utah,1
Virginia,1
Vermont,0
Washington,0
Wisconsin,1
West Virginia,1
Wyoming,1
